interface,gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd
midgut,CG41128,0.13282286,0.12290631,0.009916544,,
midgut,CG3106,0.119997315,0.11019147,0.009805843,,
midgut,eEF5,0.45127952,0.44153178,0.009747744,,
midgut,Mlc-c,0.05169812,0.0420959,0.009602219,,
midgut,ND-15,0.13238473,0.12283049,0.009554245,,
midgut,CG31098,0.044700757,0.035168733,0.009532023,,
midgut,eEF1beta,0.4052832,0.395878,0.0094052255,,
midgut,wdp,0.071657285,0.06228895,0.009368334,,
midgut,path,0.044625055,0.03528905,0.009336006,,
midgut,CG1532,0.05048375,0.04128681,0.009196937,,
midgut,CG14191,0.05058137,0.041443855,0.009137515,,
midgut,Lamp1,0.052210305,0.04327019,0.008940116,,
midgut,Mpcp2,0.30787012,0.2989407,0.008929431,,
midgut,CG34232,0.21168594,0.20278545,0.008900493,,
midgut,eff,0.061526455,0.052773975,0.00875248,,
midgut,mt:tRNA:Tyr-GTA,0.034485213,0.025820749,0.008664465,,
midgut,Adi1,0.07567924,0.067018755,0.008660488,,
midgut,hebe,0.119319186,0.11068603,0.008633159,,
midgut,CG9674,0.060634486,0.052042384,0.008592103,,
midgut,CG45089,0.2119413,0.20365888,0.008282423,,
midgut,ox,0.42959505,0.4215897,0.008005351,,
midgut,Aldh,0.14961566,0.14163448,0.007981181,,
midgut,sqd,0.09730076,0.08940042,0.007900342,,
midgut,CG17691,0.07773957,0.06984963,0.007889934,,
midgut,Tsp29Fa,0.115074806,0.10719549,0.007879317,,
midgut,CG15237,0.05291919,0.045054033,0.007865157,,
midgut,SdhC,0.2538175,0.24595624,0.007861257,,
midgut,CG46315,0.05296792,0.045182787,0.007785134,,
midgut,CG42813,0.058865808,0.05132318,0.007542629,,
midgut,AcCoAS,0.04560572,0.038088154,0.007517565,,
midgut,SsRbeta,0.04841834,0.04093952,0.0074788183,,
midgut,ps,0.07953488,0.07208814,0.0074467435,,
midgut,Rm62,0.10438522,0.09695775,0.007427469,,
midgut,CG13868,0.050169867,0.04280087,0.0073689967,,
midgut,RpL40,0.88782686,0.88047194,0.007354915,,
midgut,cnc,0.06618839,0.058976274,0.0072121136,,
midgut,CG13506,0.042772073,0.035566546,0.0072055273,,
midgut,pre-rRNA:CR45845,0.046245098,0.039042104,0.007202994,,
midgut,CG8785,0.053306498,0.04610395,0.007202547,,
midgut,Tsp42Eq,0.07039859,0.06325532,0.007143274,,
midgut,kdn,0.098296925,0.091199875,0.0070970505,,
midgut,CG7220,0.077420354,0.070354685,0.0070656687,,
midgut,RpL3,0.65381664,0.64675605,0.0070605874,,
midgut,CG13230,0.0691233,0.06211002,0.007013276,,
midgut,mt:tRNA:Cys-GCA,0.037341963,0.03057722,0.0067647435,,
midgut,Eip71CD,0.048334762,0.04164992,0.0066848435,,
midgut,TppII,0.18655486,0.17996272,0.0065921396,,
midgut,CG2556,0.049402483,0.043079443,0.0063230395,,
midgut,Tudor-SN,0.044736695,0.038431093,0.0063056014,,
midgut,bru3,0.06779699,0.061516907,0.006280083,,
midgut,vsg,0.056355026,0.050178107,0.0061769187,,
midgut,CG17896,0.08220238,0.07609462,0.0061077625,,
midgut,pix,0.048389312,0.042377345,0.0060119666,,
midgut,CG15093,0.11620139,0.11026191,0.0059394836,,
midgut,eIF3e,0.04930778,0.043488014,0.005819764,,
midgut,Fum1,0.07065577,0.064907655,0.0057481155,,
midgut,Arf79F,0.039500274,0.033904087,0.005596187,,
midgut,CG1907,0.05388575,0.04830542,0.005580332,,
midgut,ND-18,0.101359375,0.09591205,0.005447328,,
midgut,Ran,0.07378211,0.068341754,0.0054403543,,
midgut,CG5903,0.09376548,0.088647634,0.0051178485,,
midgut,CG7714,0.37452903,0.369439,0.005090028,,
midgut,CG45050,0.064668134,0.059617907,0.005050227,,
midgut,CG5214,0.114639185,0.109789595,0.0048495904,,
midgut,Chchd3,0.069029994,0.06422369,0.0048063025,,
midgut,RpS29,0.91613907,0.9113367,0.004802346,,
midgut,CG17931,0.052049037,0.047431488,0.0046175495,,
midgut,cype,0.92737347,0.9228297,0.0045437813,,
midgut,Clic,0.040027443,0.035597183,0.0044302605,,
midgut,Idh3b,0.06068143,0.056269452,0.004411977,,
midgut,CG32267,0.056687895,0.052326456,0.0043614395,,
midgut,CG6178,0.04784309,0.0434981,0.0043449923,,
midgut,Ttd14,0.05341248,0.049130388,0.004282091,,
midgut,CG10576,0.052033737,0.0477861,0.0042476356,,
midgut,Indy,0.04044687,0.036259312,0.004187558,,
midgut,CG3679,0.06108989,0.057093605,0.003996283,,
midgut,Dic1,0.04727449,0.043293428,0.0039810613,,
midgut,KdelR,0.037922002,0.03402628,0.0038957223,,
midgut,ND-AGGG,0.12545896,0.12162617,0.0038327873,,
midgut,CG30269,0.045313023,0.041560035,0.0037529878,,
midgut,CG10863,0.045656405,0.0420739,0.0035825036,,
midgut,CG9065,0.044586588,0.04103644,0.0035501495,,
midgut,CG10086,0.04719094,0.043664783,0.003526155,,
midgut,CCHa2,0.048596725,0.045178343,0.0034183823,,
midgut,slmo,0.05661562,0.05320039,0.0034152307,,
midgut,ND-20,0.09540492,0.09205866,0.0033462644,,
midgut,Mtpalpha,0.03819478,0.034885064,0.0033097155,,
midgut,MtnA,0.10214525,0.09884712,0.0032981262,,
midgut,CG6299,0.083684124,0.08050438,0.003179744,,
midgut,CG8860,0.04469086,0.04161981,0.0030710474,,
midgut,RhoGDI,0.057102192,0.05416941,0.0029327832,,
midgut,Mpc1,0.040349077,0.037443366,0.0029057115,,
midgut,CG15201,0.045295786,0.04241836,0.0028774254,,
midgut,GstD1,0.050586525,0.04774659,0.002839934,,
midgut,CG6300,0.04780354,0.044978503,0.0028250366,,
midgut,CG7920,0.17683066,0.17401296,0.0028177053,,
midgut,Tom7,0.18647693,0.18366218,0.0028147548,,
midgut,shot,0.0715435,0.06876454,0.0027789623,,
midgut,ND-B14.5B,0.16479658,0.16202171,0.0027748644,,
midgut,GstO2,0.048396476,0.045631845,0.002764631,,
midgut,Cyt-c1,0.24404456,0.24130838,0.002736181,,
midgut,CG8907,0.081518725,0.07888687,0.002631858,,
midgut,Tspo,0.16158693,0.15898918,0.0025977492,,
midgut,Karybeta3,0.043920107,0.041351233,0.0025688745,,
midgut,Rack1,0.5029389,0.5003904,0.0025485158,,
midgut,CG17508,0.041939776,0.039432634,0.0025071427,,
midgut,mtd,0.040878974,0.03841132,0.0024676546,,
midgut,lectin-37Da,0.034501538,0.032070998,0.0024305396,,
midgut,Roc1a,0.049600665,0.04725112,0.0023495443,,
midgut,Synd,0.041715987,0.039514028,0.0022019595,,
midgut,Not1,0.04128509,0.039163373,0.0021217167,,
midgut,Vap33,0.037673436,0.035578664,0.0020947717,,
midgut,Hrb27C,0.10042176,0.09835595,0.0020658076,,
midgut,CG15784,0.10558716,0.10355744,0.0020297244,,
midgut,Oda,0.5008747,0.49893305,0.0019416511,,
midgut,CG34251,0.08068066,0.07877314,0.00190752,,
midgut,kud,0.04128563,0.039389726,0.0018959045,,
midgut,Kap-alpha3,0.05068675,0.048804536,0.0018822141,,
midgut,ATPsynO,0.3326018,0.3307356,0.0018661916,,
midgut,Got2,0.05687131,0.05519162,0.0016796887,,
midgut,Cp1,0.08129058,0.079645656,0.0016449243,,
midgut,Arpc1,0.04520428,0.04361379,0.0015904903,,
midgut,CG7430,0.07769527,0.07613655,0.0015587211,,
midgut,Mitofilin,0.04010571,0.038586777,0.001518935,,
midgut,CG34132,0.051815744,0.050326638,0.0014891066,,
midgut,CG13704,0.13059388,0.1291059,0.0014879853,,
midgut,Pink1,0.05088255,0.04942079,0.0014617629,,
midgut,JhI-26,0.043339074,0.041919958,0.0014191158,,
midgut,vig2,0.03903519,0.037629936,0.001405254,,
midgut,SCOT,0.0462729,0.044869214,0.0014036857,,
midgut,CG40472,0.03712923,0.03576986,0.0013593696,,
midgut,Mec2,0.042829502,0.041521825,0.0013076775,,
midgut,mbl,0.047762282,0.046488464,0.0012738183,,
midgut,Pdha,0.0630522,0.061801862,0.0012503378,,
midgut,Ufm1,0.039489042,0.038275458,0.0012135841,,
midgut,SWIP,0.050837014,0.04965785,0.0011791624,,
midgut,CG9877,0.06828869,0.0671373,0.0011513904,,
midgut,Idh,0.0805673,0.07943577,0.0011315271,,
midgut,CG5506,0.11062131,0.10955854,0.0010627732,,
midgut,ATPsynD,0.29954505,0.29848766,0.0010573864,,
midgut,RpL35,0.7163698,0.71532047,0.0010493398,,
midgut,Hsc70-5,0.069587156,0.06855075,0.0010364056,,
midgut,CG17776,0.05753441,0.056514863,0.0010195486,,
midgut,SelT,0.041686576,0.0406824,0.0010041744,,
midgut,Irp-1B,0.100214265,0.09926921,0.000945054,,
midgut,CG5885,0.08722148,0.08638363,0.0008378476,,
midgut,CG7630,0.67137074,0.6705835,0.00078725815,,
midgut,IP3K1,0.041743886,0.040977646,0.00076624006,,
midgut,Prosbeta3,0.046398662,0.045749187,0.00064947456,,
midgut,Mdh2,0.2897043,0.28907588,0.00062841177,,
midgut,CG31715,0.048678804,0.048072662,0.000606142,,
midgut,RpL7A,0.6248795,0.6242891,0.000590384,,
midgut,Alg-2,0.05242046,0.051832337,0.00058812276,,
midgut,eIF2alpha,0.042848047,0.042448804,0.0003992431,,
midgut,IscU,0.057361085,0.05703055,0.00033053383,,
midgut,CG3420,0.046470765,0.046143297,0.00032746792,,
midgut,alpha-Spec,0.0752127,0.07490491,0.00030779094,,
midgut,CG4364,0.04973469,0.049437996,0.0002966933,,
midgut,awd,0.26653582,0.2662392,0.00029662251,,
midgut,ThrRS,0.04984693,0.04962552,0.0002214089,,
midgut,CG12279,0.03957918,0.039377995,0.0002011843,,
midgut,ATPsynCF6,0.5309259,0.53075874,0.00016719103,,
midgut,CG2064,0.04902478,0.04899168,3.3099204e-05,,
midgut,ND-ASHI,0.10317829,0.103181176,-2.8833747e-06,,
midgut,twr,0.048901215,0.048925817,-2.4601817e-05,,
midgut,eIF2beta,0.055637833,0.055705916,-6.8083405e-05,,
midgut,Tapdelta,0.12864156,0.12875055,-0.00010898709,,
midgut,CG8993,0.06668028,0.066794954,-0.000114671886,,
midgut,Sam-S,0.05590067,0.056054033,-0.00015336275,,
midgut,PCB,0.04652355,0.046727594,-0.00020404533,,
midgut,CG14566,0.060465276,0.060703754,-0.00023847818,,
midgut,ND-23,0.07995186,0.080240294,-0.00028843433,,
midgut,CG42394,0.04200947,0.04234139,-0.00033191964,,
midgut,CG12963,0.053917482,0.05428967,-0.0003721863,,
midgut,Sod2,0.109260574,0.109662436,-0.00040186197,,
midgut,eIF3f1,0.07077317,0.0711794,-0.000406228,,
midgut,Npc2d,0.04289163,0.043335013,-0.00044338405,,
midgut,CG32687,0.046386663,0.0468971,-0.00051043555,,
midgut,asRNA:CR45604,0.058997374,0.059530884,-0.00053351,,
midgut,AspRS,0.044317245,0.044855814,-0.00053856894,,
midgut,CG7414,0.072394885,0.072937064,-0.00054217875,,
midgut,Sply,0.048294976,0.048862647,-0.0005676709,,
midgut,bai,0.061775472,0.062385548,-0.0006100759,,
midgut,ArgRS-m,0.043218512,0.043867357,-0.000648845,,
midgut,CG14817,0.05461554,0.055295,-0.00067946315,,
midgut,ND-49,0.060810424,0.06156454,-0.00075411424,,
midgut,CG8066,0.0742739,0.075037315,-0.0007634163,,
midgut,Hsp60A,0.05722246,0.057992198,-0.0007697381,,
midgut,Sec61gamma,0.076601006,0.07737902,-0.000778012,,
midgut,Arpc4,0.052376457,0.053345796,-0.00096933916,,
midgut,CG10165,0.03782262,0.038796593,-0.0009739734,,
midgut,CG12163,0.061628588,0.062698945,-0.0010703579,,
midgut,Eglp4,0.08223383,0.08331971,-0.0010858774,,
midgut,ND-B12,0.34255144,0.34363937,-0.0010879338,,
midgut,eIF3d1,0.048559528,0.049725704,-0.001166176,,
midgut,hpRNA:CR18854,0.04019073,0.04138269,-0.0011919588,,
midgut,beta-Spec,0.046142925,0.047442894,-0.0012999699,,
midgut,CG12384,0.117477216,0.11879299,-0.0013157725,,
midgut,CG15922,0.03782803,0.039155528,-0.0013274997,,
midgut,UQCR-C2,0.37765363,0.3790089,-0.0013552606,,
midgut,Hexo1,0.037202906,0.038564444,-0.0013615377,,
midgut,CG17734,0.07326226,0.074639805,-0.0013775453,,
midgut,CG11791,0.054977342,0.056355454,-0.0013781115,,
midgut,mRpL28,0.041890383,0.043273695,-0.001383312,,
midgut,eIF3h,0.08329718,0.08469128,-0.0013941005,,
midgut,Neb-cGP,0.5788554,0.5802629,-0.0014075041,,
midgut,CG31265,0.03324299,0.034706417,-0.0014634281,,
midgut,CLIP-190,0.034131076,0.035622075,-0.001490999,,
midgut,Pp1-87B,0.040866204,0.04236154,-0.0014953353,,
midgut,Tim17b,0.05462823,0.056134664,-0.0015064329,,
midgut,ABCB7,0.05603748,0.05754851,-0.0015110336,,
midgut,SdhD,0.1337488,0.13529743,-0.001548633,,
midgut,CG10650,0.09434518,0.095912,-0.0015668198,,
midgut,Sfxn1-3,0.05524787,0.056822665,-0.0015747957,,
midgut,eIF1,0.10344456,0.1050744,-0.0016298369,,
midgut,CG11686,0.08968644,0.09138743,-0.0017009899,,
midgut,ND-51,0.105490625,0.107204795,-0.00171417,,
midgut,Pfdn2,0.05674727,0.05846458,-0.0017173104,,
midgut,CG8397,0.047948737,0.04970297,-0.0017542318,,
midgut,Ect4,0.0735381,0.07530555,-0.0017674491,,
midgut,28SrRNA-Psi:CR40596,0.16825397,0.17004894,-0.0017949641,,
midgut,shep,0.035076365,0.036873408,-0.0017970428,,
midgut,CG2811,0.046526365,0.048385542,-0.0018591769,,
midgut,Kyat,0.04489131,0.046795156,-0.0019038469,,
midgut,Jwa,0.05971393,0.06165817,-0.0019442402,,
midgut,CG11378,0.06341029,0.06536932,-0.0019590333,,
midgut,fbp,0.04063699,0.04269832,-0.0020613298,,
midgut,aay,0.036304444,0.03840335,-0.0020989068,,
midgut,ND-24,0.11306385,0.11520878,-0.0021449327,,
