gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
AARS1,0.029670153,0.032775383,-0.0031052306,,,tumor|nontumor
MT1G,0.09957986,0.102705225,-0.003125362,,,tumor|nontumor
PPM1G,0.04571856,0.048846897,-0.0031283349,,,tumor|nontumor
ETHE1,0.02864376,0.031772412,-0.0031286515,,,tumor|nontumor
MRPS27,0.0285091,0.031638157,-0.0031290557,,,tumor|nontumor
BZW2,0.052269593,0.055400115,-0.0031305216,,,tumor|nontumor
USP1,0.043787368,0.046931155,-0.0031437874,,,tumor|nontumor
LAP3,0.023548549,0.02669936,-0.0031508114,,,tumor|nontumor
SDF2L1,0.04213796,0.045295164,-0.0031572022,,,tumor|nontumor
SKA2,0.025559086,0.028717658,-0.0031585712,,,tumor|nontumor
TMEM176B,0.033580866,0.03674261,-0.0031617433,,,tumor|nontumor
ANAPC5,0.07286684,0.07603053,-0.003163688,,,tumor|nontumor
SAE1,0.028226208,0.031403646,-0.003177438,,,tumor|nontumor
HNRNPK,0.1820132,0.18519713,-0.003183931,,,tumor|nontumor
SYNCRIP,0.055945616,0.059145443,-0.003199827,,,tumor|nontumor
SPTBN1,0.07803129,0.081236884,-0.0032055974,,,tumor|nontumor
POMK,0.03745248,0.040670007,-0.0032175258,,,tumor|nontumor
MCM7,0.04080067,0.044023536,-0.0032228678,,,tumor|nontumor
RUSC1,0.07056603,0.073792994,-0.0032269657,,,tumor|nontumor
CKS2,0.07106339,0.07429314,-0.0032297447,,,tumor|nontumor
DNMT1,0.020401424,0.023640694,-0.0032392703,,,tumor|nontumor
RPRD1A,0.02427692,0.027521795,-0.003244875,,,tumor|nontumor
EIF4G2,0.18981814,0.19309637,-0.0032782257,,,tumor|nontumor
AKT2,0.038555074,0.04184128,-0.0032862052,,,tumor|nontumor
NOLC1,0.031288754,0.034591027,-0.0033022724,,,tumor|nontumor
UNG,0.026616007,0.029920261,-0.0033042543,,,tumor|nontumor
