gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
Cyba,0.15676741849409592,0.13458284101805537,0.02218457747604055,,,ExE endoderm
Phb,0.08487592714998769,0.06272751190509956,0.02214841524488813,,,ExE endoderm
Ranbp1,0.3324356012342653,0.3102977616923958,0.022137839541869486,,,ExE endoderm
Polr2e,0.14414082293092476,0.12202893793093011,0.02211188499999464,,,ExE endoderm
Tdh,0.11323304823101647,0.0911331390086156,0.022099909222400876,,,ExE endoderm
Spop,0.07839530164066374,0.05632112679658852,0.02207417484407522,,,ExE endoderm
Ssrp1,0.1370983558920072,0.11503756280065044,0.02206079309135675,,,ExE endoderm
Rer1,0.16340235863406963,0.1413559033590595,0.02204645527501012,,,ExE endoderm
Rps23,0.9199055321082209,0.897912025458891,0.021993506649329864,,,ExE endoderm
Id3,0.15758716624760624,0.13559871272593424,0.021988453521672002,,,ExE endoderm
Atp5a1,0.38338047800101166,0.3614182792373566,0.021962198763655072,,,ExE endoderm
Sec61a1,0.22751429947287463,0.2056018166409376,0.02191248283193703,,,ExE endoderm
Rps13,0.9366702591443874,0.9148431615562218,0.02182709758816559,,,ExE endoderm
Hmgn2,0.20316989449694706,0.1813685986486027,0.021801295848344365,,,ExE endoderm
Ier3ip1,0.1833636505511506,0.16157478298772207,0.021788867563428516,,,ExE endoderm
Sgk3,0.08091716135662501,0.05915593352883316,0.02176122782779185,,,ExE endoderm
Atp5k,0.41109055854944976,0.38933017480706933,0.02176038374238043,,,ExE endoderm
Rdx,0.3046136773284876,0.28290509620232185,0.02170858112616575,,,ExE endoderm
Sfpq,0.21054338937713074,0.18883486603240265,0.021708523344728087,,,ExE endoderm
Klhl2,0.08643352720533572,0.0648581049897696,0.021575422215566117,,,ExE endoderm
Tomm5,0.2951076753706409,0.27367032010773856,0.021437355262902358,,,ExE endoderm
Anxa5,0.11402094215423825,0.09265730555348943,0.021363636600748817,,,ExE endoderm
Nampt,0.18114461348274968,0.15981678332549745,0.02132783015725223,,,ExE endoderm
Phf5a,0.14391213103015915,0.122594810130105,0.021317320900054157,,,ExE endoderm
Slc35b1,0.0975620022130541,0.0762515942680609,0.021310407944993198,,,ExE endoderm
Srsf5,0.17049812547098803,0.1492145462594431,0.021283579211544917,,,ExE endoderm
Jpt1,0.159840130659784,0.13862745658616055,0.021212674073623455,,,ExE endoderm
Jpt2,0.10756239865391772,0.08644743040976435,0.021114968244153362,,,ExE endoderm
Atp1b3,0.16605334566959928,0.14504203867663795,0.02101130699296133,,,ExE endoderm
Cab39,0.06516218186832035,0.0441611339026576,0.021001047965662746,,,ExE endoderm
Ddx5,0.2953084462950928,0.27431097300613494,0.020997473288957846,,,ExE endoderm
Hexa,0.24686845216186548,0.22591128640738994,0.020957165754475537,,,ExE endoderm
Gemin7,0.07596174988033909,0.055028407476585835,0.020933342403753254,,,ExE endoderm
Ndufb9,0.2815416947794173,0.26069008227171797,0.020851612507699346,,,ExE endoderm
Snrnp40,0.07517278502314771,0.05433428402087503,0.020838501002272684,,,ExE endoderm
Myl12a,0.3366755379663068,0.315857925032416,0.020817612933890783,,,ExE endoderm
Ufm1,0.15424798266421363,0.13343603305174467,0.02081194961246896,,,ExE endoderm
Rpl8,0.8674896599763228,0.8468200376396101,0.020669622336712656,,,ExE endoderm
Pitpna,0.10366524767846218,0.08303654153920233,0.02062870613925985,,,ExE endoderm
Bag2,0.08551839110667592,0.0648919124916751,0.020626478615000818,,,ExE endoderm
Ppa1,0.1536208023451554,0.13302263210065304,0.020598170244502362,,,ExE endoderm
Tfdp1,0.06772110513239861,0.04714826086112876,0.020572844271269847,,,ExE endoderm
Tfg,0.06921785920529246,0.04871752868383906,0.0205003305214534,,,ExE endoderm
Ube2m,0.07242555798011871,0.051929595523022884,0.020495962457095826,,,ExE endoderm
Pum2,0.0885984338357586,0.06810690382731216,0.020491530008446446,,,ExE endoderm
Sra1,0.10864455991080106,0.08815843558425514,0.020486124326545924,,,ExE endoderm
