gene,total,composition,within_celltype,pct_composition
CALM3,-0.008437516762675854,-0.0014989532569431078,-0.006938563505732746,17.765336639968147
CALR,0.021236699408501914,0.028369424510387174,-0.00713272510188526,133.58678749782436
CALU,0.006763442031571617,0.007632172323605405,-0.0008687302920337881,112.84449970855923
CANX,0.009900931586506173,0.018393362477925973,-0.0084924308914198,185.7740589076891
CAP1,0.004910481717664929,0.007976861261834538,-0.0030663795441696097,162.44559537078896
CAPG,0.008443007562905655,0.007638836423185465,0.0008041711397201892,90.4753000192335
CAPN1,0.008055222930558043,0.007716479893920415,0.00033874303663762844,95.7947403869782
CAPN2,0.009712461131091438,0.00872422089044007,0.0009882402406513684,89.82502758762325
CAPNS1,0.004055838075997053,0.005562092301630103,-0.00150625422563305,137.13792802891334
CAPZA1,0.00651235007049379,0.004565447065582512,0.0019469030049112776,70.10444795140356
CAPZB,-0.0055530191608642145,-0.0014354646444713973,-0.004117554516392817,25.85016552055254
CAST,0.0032003819556438128,0.0039456306879045635,-0.0007452487322607505,123.28624341061912
CAVIN1,0.008340020301421773,0.010433686488431227,-0.002093666187009454,125.10385000684632
CBFB,0.00030029336770990547,0.00031449583108333684,-1.4202463373431365e-05,104.72952948702866
CBX3,0.005536733697485232,0.00637629599344485,-0.0008395622959596181,115.16349425187173
CCDC91,0.013119302689896278,0.009026443519489748,0.00409285917040653,68.8027689645532
CCN2,0.0038891800496385995,0.0026304208704736637,0.0012587591791649358,67.63433003617548
CCND1,0.027543396388945287,0.03293901572111749,-0.005395619332172201,119.58952068212534
CCNI,-0.027760628216578168,-0.018691593266588716,-0.009069034949989452,67.33130504383334
CCT2,0.01372488621490737,0.012396130569180945,0.0013287556457264246,90.31863998782599
CCT3,0.005314389379466921,0.008742209355478679,-0.003427819976011758,164.50073058733227
CCT4,0.003314860599074784,0.0035073758102589407,-0.00019251521118415684,105.80764123951064
CCT5,0.008996287573231315,0.012598881365589523,-0.003602593792358209,140.04533829129494
CCT6A,0.008956725163668472,0.010022037836985583,-0.0010653126733171103,111.89399756998665
CCT7,0.0018831403292170483,0.0029877390314107474,-0.001104598702193699,158.65726972418233
CCT8,0.000534937571049424,0.0010757890800322835,-0.0005408515089828595,201.10553796433362
CD14,0.0018814878219090775,0.0014883714966751776,0.0003931163252338998,79.10609249466101
CD164,-0.004737649077484154,-0.004260921660363952,-0.00047672741712020175,89.9374687883519
CD24,0.00967642000992747,0.010198027352163965,-0.0005216073422364951,105.390499189797
CD44,0.010512300460774573,0.01070386447146457,-0.00019156401068999552,101.82228439345691
CD47,0.0046745020112865,0.005504936499658223,-0.000830434488371723,117.76519694219093
CD59,0.009769953779531607,0.011218316173856662,-0.0014483623943250556,114.82465963512973
CD63,0.004882314319403768,0.017249531890246746,-0.012367217570842979,353.30646004686713
