side,source,term_id,term_name,p_value,intersection_size
dent,REAC,REAC:R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,3.08143544508253e-38,33
dent,REAC,REAC:R-HSA-8868773,rRNA processing in the nucleus and cytosol,2.0652533219155565e-37,33
dent,REAC,REAC:R-HSA-72312,rRNA processing,1.2428729279661316e-36,33
dent,KEGG,KEGG:03010,Ribosome,5.384009990142724e-36,33
dent,REAC,REAC:R-HSA-376176,Signaling by ROBO receptors,1.5364329684269034e-35,33
dent,KEGG,KEGG:05171,Coronavirus disease - COVID-19,1.8681154201610327e-34,34
dent,GO:CC,GO:0005840,ribosome,4.13908581782368e-33,34
dent,REAC,REAC:R-HSA-72766,Translation,1.1423195478967562e-32,34
dent,GO:MF,GO:0003735,structural constituent of ribosome,2.483296193284783e-32,33
dent,GO:BP,GO:0160307,protein biosynthetic process,6.836995928882037e-29,35
dent,GO:BP,GO:0006412,translation,6.836995928882037e-29,35
dent,REAC,REAC:R-HSA-71291,Metabolism of amino acids and derivatives,6.388030198386428e-28,33
dent,GO:CC,GO:0022627,cytosolic small ribosomal subunit,1.5288395945918167e-27,16
dent,GO:CC,GO:0022625,cytosolic large ribosomal subunit,1.8107057097533706e-27,17
dent,REAC,REAC:R-HSA-9824446,Viral Infection Pathways,3.264176870931507e-27,43
dent,REAC,REAC:R-HSA-2262752,Cellular responses to stress,2.143605023330228e-26,41
dent,REAC,REAC:R-HSA-9735869,SARS-CoV-1 modulates host translation machinery,4.021875982294934e-26,17
dent,REAC,REAC:R-HSA-5663205,Infectious disease,4.2752891195570086e-26,45
dent,REAC,REAC:R-HSA-8953897,Cellular responses to stimuli,4.3043104057078783e-26,41
dent,REAC,REAC:R-HSA-422475,Axon guidance,4.50346353391191e-26,36
dent,REAC,REAC:R-HSA-9675108,Nervous system development,2.214573581304858e-25,36
dent,GO:MF,GO:0005198,structural molecule activity,1.804585051713068e-24,37
dent,GO:CC,GO:0015935,small ribosomal subunit,9.181533709125047e-23,16
dent,GO:CC,GO:0015934,large ribosomal subunit,1.7868073313808306e-21,17
dent,REAC,REAC:R-HSA-9692914,SARS-CoV-1-host interactions,2.0848821212802183e-21,19
dent,REAC,REAC:R-HSA-9754678,SARS-CoV-2 modulates host translation machinery,3.388516810851248e-21,16
dent,REAC,REAC:R-HSA-72695,"Formation of the ternary complex, and subsequently, the 43S complex",4.871519132175233e-21,16
dent,REAC,REAC:R-HSA-72702,Ribosomal scanning and start codon recognition,4.99001226233275e-20,16
dent,REAC,REAC:R-HSA-72649,Translation initiation complex formation,4.99001226233275e-20,16
dent,REAC,REAC:R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",6.772561857128663e-20,16
dent,REAC,REAC:R-HSA-8953854,Metabolism of RNA,1.2008614285472297e-19,34
dent,REAC,REAC:R-HSA-1430728,Metabolism,4.184668860529336e-19,51
dent,REAC,REAC:R-HSA-9678108,SARS-CoV-1 Infection,5.164415209412988e-18,19
dent,REAC,REAC:R-HSA-1643685,Disease,5.942196637929109e-17,46
dent,GO:CC,GO:0005925,focal adhesion,1.2853568828284786e-16,21
dent,GO:CC,GO:0030055,cell-substrate junction,2.0698578620836442e-16,21
dent,GO:CC,GO:0032040,small-subunit processome,4.157635538473141e-15,12
dent,REAC,REAC:R-HSA-392499,Metabolism of proteins,4.711336057199618e-14,45
dent,GO:BP,GO:0042274,ribosomal small subunit biogenesis,6.467387055378707e-14,13
dent,REAC,REAC:R-HSA-9705683,SARS-CoV-2-host interactions,8.358774644025516e-14,18
dent,REAC,REAC:R-HSA-9679506,SARS-CoV Infections,1.3524846024344955e-13,24
dent,GO:CC,GO:0030684,preribosome,3.602370577949168e-13,12
dent,GO:BP,GO:0042254,ribosome biogenesis,9.519440070821574e-13,17
dent,GO:CC,GO:0098803,respiratory chain complex,1.388736579406804e-12,12
dent,GO:CC,GO:0070062,extracellular exosome,1.762692395380998e-12,33
dent,GO:CC,GO:0032991,protein-containing complex,2.122658484225332e-12,60
dent,GO:CC,GO:1903561,extracellular vesicle,2.6522099774194044e-12,33
dent,GO:CC,GO:0043230,extracellular organelle,2.688264608176131e-12,33
dent,GO:CC,GO:0065010,extracellular membrane-bounded organelle,2.688264608176131e-12,33
dent,REAC,REAC:R-HSA-1266738,Developmental Biology,2.9347991445954716e-12,36
dent,GO:MF,GO:0003723,RNA binding,5.2588152659445764e-11,39
dent,GO:CC,GO:1990904,ribonucleoprotein complex,5.727851174313146e-11,35
dent,REAC,REAC:R-HSA-9694516,SARS-CoV-2 Infection,8.373399685534177e-11,18
dent,GO:BP,GO:0006119,oxidative phosphorylation,1.7446802349622027e-10,12
dent,GO:CC,GO:0070161,anchoring junction,4.737039611660323e-10,21
dent,GO:MF,GO:0015453,oxidoreduction-driven active transmembrane transporter activity,1.2295799000905192e-09,9
dent,GO:BP,GO:0019646,aerobic electron transport chain,1.3180284037288046e-09,10
dent,GO:BP,GO:0042775,mitochondrial ATP synthesis coupled electron transport,2.5183143575598066e-09,10
dent,GO:BP,GO:0042773,ATP synthesis coupled electron transport,2.5183143575598066e-09,10
dent,KEGG,KEGG:05012,Parkinson disease,8.999940912116406e-09,16
dent,GO:CC,GO:0005615,extracellular space,1.1555191133500866e-08,35
dent,GO:CC,GO:0030054,cell junction,1.1617787125356795e-08,30
dent,GO:BP,GO:0022904,respiratory electron transport chain,1.1712308390355628e-08,10
dent,KEGG,KEGG:05020,Prion disease,1.3245028243593586e-08,16
dent,GO:BP,GO:0022900,electron transport chain,2.9616457007970076e-08,10
dent,KEGG,KEGG:00190,Oxidative phosphorylation,3.118106395232495e-08,12
dent,GO:CC,GO:0005737,cytoplasm,3.8253760758343683e-08,68
dent,GO:MF,GO:0015078,proton transmembrane transporter activity,4.770451674514154e-08,11
dent,GO:BP,GO:1902600,proton transmembrane transport,8.672874084125504e-08,11
dent,GO:CC,GO:0016020,membrane,1.6093053484461502e-07,60
dent,GO:MF,GO:0009055,electron transfer activity,1.9975724501169498e-07,9
dent,GO:CC,GO:0005829,cytosol,2.644613754434921e-07,44
dent,GO:MF,GO:0022853,active monoatomic ion transmembrane transporter activity,2.7314925433190364e-07,9
dent,GO:BP,GO:0009060,aerobic respiration,6.091830041247129e-07,12
dent,KEGG,KEGG:05016,Huntington disease,6.329893554899352e-07,15
dent,GO:CC,GO:0042613,MHC class II protein complex,6.885529912805238e-07,5
dent,KEGG,KEGG:05014,Amyotrophic lateral sclerosis,9.039467260209278e-07,16
dent,GO:CC,GO:0031982,vesicle,1.0634765401841474e-06,36
dent,GO:CC,GO:0071735,IgG immunoglobulin complex,2.4825644100469803e-06,4
dent,REAC,REAC:R-HSA-1428517,Aerobic respiration and respiratory electron transport,2.537379835485623e-06,13
dent,GO:BP,GO:0045333,cellular respiration,2.623147748782053e-06,12
dent,GO:BP,GO:0019538,protein metabolic process,2.75712437980657e-06,39
dent,GO:BP,GO:0042255,ribosome assembly,2.886151944957325e-06,7
dent,KEGG,KEGG:05415,Diabetic cardiomyopathy,3.2067591182156792e-06,12
dent,GO:CC,GO:0042611,MHC protein complex,4.643063217356373e-06,5
dent,GO:BP,GO:0042776,proton motive force-driven mitochondrial ATP synthesis,5.658741437404961e-06,7
dent,GO:MF,GO:0015399,primary active transmembrane transporter activity,6.067546649101123e-06,9
dent,GO:BP,GO:0006364,rRNA processing,8.34600249504772e-06,10
dent,GO:MF,GO:0003823,antigen binding,8.700836698166624e-06,9
dent,KEGG,KEGG:05208,Chemical carcinogenesis - reactive oxygen species,9.466728539369424e-06,12
dent,KEGG,KEGG:05010,Alzheimer disease,1.3372429536048238e-05,15
dent,KEGG,KEGG:04714,Thermogenesis,1.4536584055600434e-05,12
dent,GO:MF,GO:0023026,MHC class II protein complex binding,1.4625285961837243e-05,5
dent,GO:BP,GO:0015986,proton motive force-driven ATP synthesis,1.667698283515118e-05,7
dent,GO:CC,GO:0005576,extracellular region,1.7510120278085208e-05,35
dent,REAC,REAC:R-HSA-611105,Respiratory electron transport,1.9931139913399056e-05,10
dent,GO:CC,GO:0005730,nucleolus,3.310786569498693e-05,23
dent,KEGG,KEGG:05022,Pathways of neurodegeneration - multiple diseases,3.584235119379072e-05,16
dent,GO:CC,GO:1902495,transmembrane transporter complex,3.784548059280094e-05,12
dent,GO:BP,GO:0016072,rRNA metabolic process,3.90225401008839e-05,10
dent,GO:CC,GO:0005743,mitochondrial inner membrane,4.119021732552697e-05,12
dent,GO:BP,GO:0015980,energy derivation by oxidation of organic compounds,4.124695396718174e-05,12
dent,GO:CC,GO:0070069,cytochrome complex,4.601340586356123e-05,5
dent,GO:CC,GO:1990351,transporter complex,5.854966519585226e-05,12
dent,GO:BP,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,6.841648981591686e-05,5
dent,GO:MF,GO:0023023,MHC protein complex binding,7.95990866711569e-05,5
dent,GO:BP,GO:0006754,ATP biosynthetic process,0.00010189956995551713,7
dent,GO:MF,GO:0019843,rRNA binding,0.00011352482611319259,6
dent,GO:CC,GO:0019866,organelle inner membrane,0.0001228683749190172,12
dent,GO:BP,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,0.00013867759040073758,5
dent,GO:BP,GO:0002503,peptide antigen assembly with MHC class II protein complex,0.00015719216302039095,4
dent,GO:BP,GO:0002399,MHC class II protein complex assembly,0.00015719216302039095,4
dent,GO:BP,GO:0006091,generation of precursor metabolites and energy,0.0001666337954910519,12
dent,GO:CC,GO:0045271,respiratory chain complex I,0.00019502992771536592,5
dent,GO:CC,GO:0030964,NADH dehydrogenase complex,0.00019502992771536592,5
dent,GO:BP,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,0.00020822022542662708,7
dent,GO:CC,GO:0098556,cytoplasmic side of rough endoplasmic reticulum membrane,0.00021887349296103738,3
dent,GO:BP,GO:0009145,purine nucleoside triphosphate biosynthetic process,0.00022135936630323128,7
dent,REAC,REAC:R-HSA-191273,Cholesterol biosynthesis,0.0002298383748499508,5
dent,GO:MF,GO:0008137,NADH dehydrogenase (ubiquinone) activity,0.0002456784219302812,5
dent,GO:MF,GO:0042605,peptide antigen binding,0.0002456784219302812,5
dent,GO:BP,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,0.00025682326523257976,5
dent,GO:BP,GO:0015990,electron transport coupled proton transport,0.0002690768418107202,3
dent,GO:BP,GO:0015988,"energy coupled proton transmembrane transport, against electrochemical gradient",0.0002690768418107202,3
