gene,mean_bulge,mean_dent,lfc
HSPA1A,0.065857455,0.06460013,0.0012573227
TTL,0.046290003,0.045034133,0.0012558699
TM9SF3,0.069517896,0.06826993,0.0012479648
FUBP1,0.027306737,0.026060518,0.0012462195
PSMD5,0.024158817,0.022913894,0.0012449231
ARL2,0.023186505,0.021944845,0.0012416597
PINK1,0.026039962,0.024798483,0.0012414791
BRD9,0.030732647,0.029491458,0.0012411885
KLF16,0.033539876,0.032299273,0.0012406036
MYOF,0.025511418,0.024271658,0.0012397598
AGPS,0.025259126,0.024019664,0.0012394618
HIPK3,0.038138885,0.036900923,0.0012379624
NCLN,0.024476362,0.023238659,0.0012377035
RPL22L1,0.036944672,0.035710547,0.0012341253
TSKU,0.02167926,0.020448886,0.001230374
TFAP2C,0.0563951,0.05516725,0.0012278482
ICE1,0.02870118,0.027473543,0.0012276378
RNF44,0.024826603,0.023599548,0.0012270547
ZRANB2,0.05261979,0.051395275,0.0012245141
FAF2,0.02813367,0.026911717,0.001221953
COP1,0.041300047,0.040082365,0.0012176819
SURF4,0.056249384,0.055032074,0.0012173094
COA6,0.030724054,0.0295107,0.001213355
SUCO,0.027130138,0.02591962,0.0012105182
ATG101,0.024042195,0.022832517,0.0012096781
RAB34,0.038487542,0.03727791,0.0012096316
PRMT2,0.04549839,0.0442897,0.0012086891
NT5DC2,0.02878827,0.02758047,0.0012078006
ABHD17A,0.023340194,0.022133194,0.0012069996
DGCR2,0.031316124,0.030111892,0.0012042318
MAPKAP1,0.030598028,0.029394047,0.0012039803
ZFAND6,0.034253348,0.033050228,0.0012031198
ST14,0.03816883,0.0369692,0.0011996292
SLC29A1,0.023891553,0.022693153,0.0011983998
MESD,0.037413105,0.036220714,0.0011923909
ESRP1,0.027193297,0.026001323,0.0011919737
CCNQ,0.026799586,0.025608335,0.001191251
RUFY1,0.038135245,0.036945138,0.0011901073
ARFGEF2,0.025857072,0.024669137,0.0011879355
OSBPL8,0.025395839,0.024208235,0.0011876039
SELENOK,0.038652197,0.037464608,0.001187589
DMWD,0.025236186,0.024051018,0.0011851676
GOSR1,0.02584044,0.024655893,0.0011845473
SERPINB6,0.023944022,0.022759872,0.0011841506
C2orf69,0.03126532,0.030081963,0.0011833552
RPL6,0.11942083,0.11823866,0.0011821687
KCTD15,0.025531093,0.024350444,0.0011806488
GPBP1,0.028980654,0.02780049,0.0011801645
PGRMC2,0.030314075,0.029135153,0.0011789221
BAK1,0.031627513,0.030449064,0.001178449
STAT6,0.04937421,0.048196204,0.0011780076
KAZN,0.022953406,0.02177655,0.0011768565
SNX1,0.023206642,0.022031723,0.0011749193
RPS7,0.17070271,0.16952781,0.001174897
BTBD2,0.037570216,0.036398813,0.0011714026
MZT2B,0.08447434,0.083303235,0.0011711046
FTX,0.02810141,0.026930561,0.0011708494
DERL1,0.048030872,0.046861097,0.0011697747
SMAD5,0.022921108,0.02175255,0.0011685584
ACIN1,0.026428923,0.025262559,0.0011663642
AKIRIN2,0.027915146,0.02675383,0.0011613164
GRN,0.23406044,0.232902,0.0011584312
GTSF1,0.038199563,0.037043076,0.0011564866
SFXN1,0.022060694,0.020907927,0.0011527669
TIAL1,0.029571008,0.028424306,0.0011467021
ESRRA,0.029863274,0.028720994,0.0011422802
AFF1,0.03104131,0.029899398,0.0011419114
ADGRG1,0.03788723,0.036745533,0.0011416972
ENSG00000230021,0.031800296,0.030660527,0.0011397693
FIBP,0.064144716,0.06300836,0.0011363551
SRP19,0.03542324,0.034287855,0.0011353865
HDLBP,0.08123188,0.08009656,0.0011353195
SLC24A3,0.033185285,0.032050226,0.0011350587
MID1IP1,0.025465146,0.024337249,0.0011278968
MMADHC,0.03470876,0.033581205,0.001127556
GARS1,0.05376544,0.052638546,0.0011268929
AAK1,0.03295042,0.031825468,0.001124952
ARFGEF1,0.028270198,0.027146192,0.0011240058
SEPTIN2,0.08910391,0.087980494,0.0011234134
CXXC1,0.026382275,0.025260419,0.0011218563
PLXNA1,0.046387475,0.04526816,0.0011193156
SMC6,0.021732934,0.020614542,0.0011183918
DHX33,0.022705335,0.021587119,0.0011182167
SON,0.06933004,0.06821344,0.0011165962
MED8,0.037821136,0.03670478,0.0011163577
TMEM131,0.031447824,0.030332763,0.0011150613
NAA20,0.051133633,0.05002006,0.0011135712
PDXK,0.03969838,0.038585324,0.0011130571
PLPP1,0.03147289,0.030360233,0.0011126585
PPP4R3B,0.03149196,0.030380823,0.0011111386
TMEM185B,0.023895651,0.02278506,0.001110591
UQCRC1,0.024416491,0.023307163,0.0011093281
ISCA1,0.026461635,0.025353035,0.0011085998
IPO8,0.039266217,0.038164508,0.0011017099
CAMKK2,0.023699384,0.02259815,0.0011012349
NEDD4L,0.027462278,0.026363181,0.0010990966
C6orf62,0.06585723,0.06475845,0.0010987818
AMZ2,0.04086356,0.039769866,0.0010936931
HSPH1,0.105523005,0.10443146,0.0010915473
ESD,0.024111072,0.023020547,0.0010905247
ARID1B,0.046200026,0.04511224,0.0010877848
NDFIP1,0.07030727,0.06922035,0.0010869205
ROCK2,0.024866968,0.023784557,0.001082411
PPP6C,0.02988077,0.028799744,0.0010810252
KXD1,0.021494726,0.020417815,0.0010769106
CMTM6,0.049014345,0.047938414,0.0010759309
PTGES3,0.092893235,0.09181813,0.0010751039
COA3,0.035854865,0.034780566,0.0010742992
SUMF2,0.05364506,0.052573264,0.0010717958
FBXO25,0.032727603,0.031656142,0.0010714605
MRPL14,0.03413132,0.03306109,0.0010702275
BTBD6,0.03234101,0.03127232,0.0010686927
MTCH2,0.02906918,0.028007941,0.0010612383
MMP9,0.029904444,0.02884325,0.0010611936
MKRN1,0.028396877,0.02733681,0.0010600667
NFIA,0.04283245,0.04177666,0.0010557882
POLE4,0.03898564,0.03793175,0.0010538884
NUP50,0.03929436,0.038241692,0.0010526665
ANXA7,0.024481233,0.02343287,0.0010483637
PTEN,0.038070135,0.03702291,0.0010472238
SF3A3,0.034747217,0.03370303,0.0010441877
LAMTOR5,0.07912439,0.078081764,0.0010426268
ARL6IP1,0.089475065,0.08843305,0.0010420159
RTF2,0.039239552,0.0381985,0.001041051
EIF4EBP2,0.035105936,0.03406732,0.0010386147
ELF4,0.028343532,0.02730496,0.0010385718
EIF4H,0.05981176,0.058776118,0.0010356419
EMILIN2,0.024641061,0.023606231,0.0010348298
ADNP,0.05078156,0.04974696,0.0010345988
TIMP2,0.054673795,0.05363976,0.0010340363
EPHX1,0.03297372,0.03194641,0.0010273121
CYTH1,0.024888977,0.023861945,0.0010270327
TMEM138,0.034878183,0.033851624,0.0010265596
BOD1,0.02839095,0.027367325,0.0010236241
SAMD4B,0.032901026,0.03187906,0.0010219663
SVIL,0.043780304,0.042758487,0.0010218173
LAMTOR1,0.08875798,0.08773845,0.00101953
EMD,0.050259616,0.049240395,0.0010192208
ZNF638,0.02751389,0.026494712,0.001019178
LARP4B,0.025321461,0.024302421,0.0010190401
RTF1,0.031277537,0.030259792,0.0010177456
PRKRA,0.035834786,0.034818456,0.00101633
RANGAP1,0.039532833,0.038518257,0.0010145754
ENTR1,0.027336428,0.026327694,0.0010087341
EIF2S1,0.03540091,0.034392774,0.0010081343
TSNAX,0.026684577,0.025682164,0.0010024123
SF3B6,0.038476266,0.037481755,0.000994511
LYPLA2,0.039081044,0.038087156,0.0009938888
TWF1,0.02663089,0.025637116,0.0009937733
CYC1,0.047375824,0.046389356,0.000986468
METTL17,0.040023502,0.03903816,0.000985343
ZNF207,0.08779284,0.08680764,0.0009852052
ATP6V1F,0.058417886,0.05743497,0.0009829178
SMCHD1,0.033295922,0.032314688,0.000981234
STING1,0.036941666,0.035963085,0.0009785816
RNF139,0.03259668,0.031618726,0.0009779558
CEP350,0.02646675,0.025491484,0.0009752661
MAP3K7,0.021643186,0.02067171,0.0009714756
TCFL5,0.021720132,0.020749064,0.0009710677
YIPF1,0.022326065,0.021356475,0.0009695906
RPS6KB2,0.031686008,0.030716456,0.0009695515
DDX56,0.024857907,0.023889616,0.0009682905
CTSA,0.035927325,0.034960724,0.0009666011
N4BP1,0.041187253,0.04022164,0.0009656139
POMGNT1,0.031534977,0.030572165,0.00096281245
MFF,0.037647154,0.036684733,0.0009624213
ITGB1BP1,0.037448213,0.036486134,0.0009620786
ATP6V1C1,0.025190629,0.02423135,0.000959279
COMMD5,0.02471775,0.023761593,0.0009561572
SCAF11,0.058509607,0.057553522,0.0009560846
ZNF593,0.022646196,0.021690309,0.00095588714
MRPL57,0.021814605,0.020858796,0.0009558089
SPTAN1,0.061759185,0.06080721,0.0009519756
ATXN10,0.056838345,0.055891503,0.00094684213
BROX,0.023644594,0.02269931,0.00094528496
TMEM181,0.023661826,0.022717044,0.00094478205
HR,0.04457899,0.04363445,0.00094454363
PYGO2,0.02702159,0.026078038,0.0009435527
ZMYM4,0.027658165,0.026716677,0.00094148703
NCOA6,0.025930788,0.02499152,0.0009392686
CIAO2B,0.025873855,0.024937285,0.00093656965
FAF1,0.04658008,0.045647006,0.00093307346
DYNC1LI2,0.056051135,0.055118803,0.0009323321
COMMD4,0.023422476,0.022492273,0.0009302031
TPR,0.02753731,0.026607629,0.0009296816
FOXK2,0.03145392,0.030524733,0.0009291861
TMEM70,0.03240511,0.031477053,0.0009280555
CAND1,0.041420266,0.040492475,0.000927791
NAP1L4,0.030119928,0.02919351,0.00092641823
MRPL42,0.022408431,0.021486254,0.000922177
MOB4,0.035112612,0.034192618,0.00091999397
TFCP2,0.02600402,0.025085175,0.0009188447
TMEM14A,0.038565025,0.03764639,0.00091863424
TLE3,0.026848681,0.025931593,0.00091708824
GFUS,0.051305868,0.05039116,0.0009147078
BRD4,0.05250421,0.051591873,0.0009123385
ASCC2,0.026891032,0.025981218,0.0009098146
NEK9,0.022750124,0.021844506,0.0009056181
DGUOK,0.038297344,0.037392974,0.0009043701
RAB3GAP1,0.025966225,0.025062611,0.00090361387
XPO6,0.027547734,0.026644839,0.0009028949
IER5L,0.02782384,0.026922967,0.00090087205
ERICH1,0.028767107,0.027869673,0.0008974336
SEPTIN9,0.08605156,0.08515694,0.000894621
LMF2,0.026846709,0.025955489,0.0008912198
MCRIP1,0.026058005,0.025167923,0.00089008175
RNF181,0.02974337,0.028857186,0.00088618323
KLC1,0.03196582,0.031079916,0.000885902
MIEN1,0.024915447,0.024030987,0.0008844603
PNRC2,0.0298855,0.029001642,0.00088385865
NUMBL,0.022221113,0.021339323,0.00088178925
ARMC1,0.022705402,0.02183211,0.00087329186
TCEA1,0.03091823,0.030045254,0.0008729752
CYB561A3,0.027366934,0.02649416,0.00087277405
TPP1,0.043737166,0.042866725,0.00087044016
HES4,0.027974688,0.027104504,0.0008701831
TBRG4,0.038217217,0.037350725,0.00086649135
ZC3H3,0.042834133,0.04197044,0.00086369365
BCLAF1,0.033587486,0.032723993,0.0008634925
KLHL5,0.026436869,0.025573583,0.00086328574
TTC19,0.024566043,0.023704575,0.0008614678
SMIM14,0.022976438,0.022115123,0.00086131506
RAB5B,0.061247114,0.060387813,0.00085930154
GTF2H5,0.03345186,0.032593913,0.00085794553
TMEM238,0.04764429,0.046786577,0.00085771456
SREK1,0.02263172,0.021774553,0.00085716695
VBP1,0.033071328,0.032214455,0.00085687265
WASHC5,0.027720176,0.026863439,0.0008567367
TMED5,0.035629816,0.03477427,0.00085554644
UTP6,0.023762202,0.022907287,0.000854915
COL6A1,0.075855866,0.07500167,0.00085419416
PFDN4,0.023456825,0.02260323,0.0008535944
IP6K2,0.022506809,0.02165466,0.000852149
SETBP1,0.02697656,0.026124995,0.0008515641
ENSG00000285108,0.022729065,0.021878432,0.0008506328
RANBP1,0.066797264,0.06594665,0.00085061044
PRR14L,0.026477069,0.025627324,0.0008497443
ATF6,0.024951862,0.024111,0.00084086135
PSME4,0.028711103,0.02787266,0.00083844364
GM2A,0.038235817,0.037397984,0.0008378327
GTF2A2,0.040233195,0.039396513,0.0008366816
MZT2A,0.034140967,0.03330811,0.0008328557
