gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface,dataset,specimen
ATCG01010,0.7725931,0.7164948,0.056098282,,,epidermis|rest,acsta_arabidopsis,
ATCG00800,0.53379744,0.4779021,0.05589533,,,epidermis|rest,acsta_arabidopsis,
AT1G15690,0.37932342,0.32359955,0.055723876,,,epidermis|rest,acsta_arabidopsis,
AT1G01120,0.37598568,0.3205484,0.055437297,,,epidermis|rest,acsta_arabidopsis,
AT1G01140,0.508393,0.45334506,0.05504793,,,epidermis|rest,acsta_arabidopsis,
ATCG00065,0.22003326,0.16535018,0.054683074,,,epidermis|rest,acsta_arabidopsis,
AT1G08510,0.19574134,0.14123802,0.05450332,,,epidermis|rest,acsta_arabidopsis,
AT1G73680,0.16659902,0.112255074,0.054343946,,,epidermis|rest,acsta_arabidopsis,
ATCG00690,0.5074449,0.4531396,0.054305315,,,epidermis|rest,acsta_arabidopsis,
ATMG01360,0.531433,0.4772476,0.05418539,,,epidermis|rest,acsta_arabidopsis,
ATCG00500,0.67082596,0.61671877,0.05410719,,,epidermis|rest,acsta_arabidopsis,
AT1G20960,0.15713285,0.10311759,0.054015256,,,epidermis|rest,acsta_arabidopsis,
ATCG00300,0.76231706,0.7084669,0.053850174,,,epidermis|rest,acsta_arabidopsis,
AT5G45110,0.18222661,0.12865284,0.053573772,,,epidermis|rest,acsta_arabidopsis,
AT1G68010,0.7626402,0.7093223,0.053317904,,,epidermis|rest,acsta_arabidopsis,
ATCG00610,0.40994388,0.3576969,0.052246988,,,epidermis|rest,acsta_arabidopsis,
AT4G15530,0.1986447,0.14722198,0.051422715,,,epidermis|rest,acsta_arabidopsis,
AT4G29780,0.64321154,0.5919248,0.051286757,,,epidermis|rest,acsta_arabidopsis,
AT1G78280,0.20874797,0.1575471,0.051200867,,,epidermis|rest,acsta_arabidopsis,
AT1G22930,0.429166,0.3781301,0.05103588,,,epidermis|rest,acsta_arabidopsis,
AT2G01020,0.26623484,0.21540146,0.05083339,,,epidermis|rest,acsta_arabidopsis,
AT1G21580,0.14784917,0.09722242,0.050626755,,,epidermis|rest,acsta_arabidopsis,
AT1G29670,0.44572118,0.39517403,0.050547153,,,epidermis|rest,acsta_arabidopsis,
AT1G76180,1.0711975,1.0208964,0.050301075,,,epidermis|rest,acsta_arabidopsis,
AT3G15210,0.2979431,0.24793382,0.050009266,,,epidermis|rest,acsta_arabidopsis,
AT5G01710,0.17442657,0.12468562,0.049740948,,,epidermis|rest,acsta_arabidopsis,
AT3G17800,0.443705,0.39565158,0.048053414,,,epidermis|rest,acsta_arabidopsis,
AT4G13340,0.3519479,0.3044857,0.047462195,,,epidermis|rest,acsta_arabidopsis,
AT4G23180,0.2672707,0.21988422,0.047386497,,,epidermis|rest,acsta_arabidopsis,
AT4G29900,0.3214092,0.27410093,0.047308266,,,epidermis|rest,acsta_arabidopsis,
AT4G29670,0.276008,0.22926122,0.04674679,,,epidermis|rest,acsta_arabidopsis,
AT3G26070,0.18465123,0.1382229,0.046428323,,,epidermis|rest,acsta_arabidopsis,
AT4G33220,0.14789477,0.1015735,0.046321273,,,epidermis|rest,acsta_arabidopsis,
AT1G22530,0.26185387,0.21655701,0.045296863,,,epidermis|rest,acsta_arabidopsis,
ATCG01130,0.40124297,0.35596,0.04528296,,,epidermis|rest,acsta_arabidopsis,
AT1G58290,0.43358573,0.388468,0.045117736,,,epidermis|rest,acsta_arabidopsis,
AT5G13630,0.75261664,0.7080226,0.04459405,,,epidermis|rest,acsta_arabidopsis,
ATCG00640,0.56674916,0.5223342,0.044414937,,,epidermis|rest,acsta_arabidopsis,
AT1G53210,0.44454253,0.40013373,0.0444088,,,epidermis|rest,acsta_arabidopsis,
AT5G58720,0.18223639,0.1381752,0.044061184,,,epidermis|rest,acsta_arabidopsis,
AT2G01490,0.22677872,0.18292597,0.043852746,,,epidermis|rest,acsta_arabidopsis,
AT5G27350,0.2775204,0.2337899,0.043730482,,,epidermis|rest,acsta_arabidopsis,
AT3G55980,0.99204004,0.94842356,0.043616474,,,epidermis|rest,acsta_arabidopsis,
AT4G38550,0.24703799,0.20374809,0.0432899,,,epidermis|rest,acsta_arabidopsis,
AT5G41790,0.31398416,0.27091977,0.043064386,,,epidermis|rest,acsta_arabidopsis,
AT4G33010,0.92464757,0.88162714,0.043020427,,,epidermis|rest,acsta_arabidopsis,
AT3G50370,0.14014244,0.097251445,0.042890996,,,epidermis|rest,acsta_arabidopsis,
AT3G59060,0.3155576,0.27279836,0.04275924,,,epidermis|rest,acsta_arabidopsis,
AT1G07135,0.5176274,0.4749192,0.042708218,,,epidermis|rest,acsta_arabidopsis,
AT2G34510,0.24374066,0.20103492,0.042705745,,,epidermis|rest,acsta_arabidopsis,
AT1G51805,0.4105575,0.36844274,0.042114764,,,epidermis|rest,acsta_arabidopsis,
ATCG00660,0.20623994,0.1642181,0.04202184,,,epidermis|rest,acsta_arabidopsis,
AT3G45970,0.2927256,0.25081787,0.041907728,,,epidermis|rest,acsta_arabidopsis,
AT1G75380,0.6675042,0.6259289,0.041575313,,,epidermis|rest,acsta_arabidopsis,
AT1G11310,0.22052449,0.1791617,0.041362792,,,epidermis|rest,acsta_arabidopsis,
AT5G62000,0.41735813,0.37613532,0.04122281,,,epidermis|rest,acsta_arabidopsis,
