gene,obs_lfc,null_sd,p_geomnull,interface,dataset,specimen
RBFOX1,0.041271448,0.0426959431013512,0.3432835820895522,granular layer|rest,cerebellum_crossspecies_spatial,
ZNF804B,0.028026164,0.0089822372672937,0.1343283582089552,granular layer|rest,cerebellum_crossspecies_spatial,
FGF14,0.026243687,0.0166219579086502,0.4129353233830846,granular layer|rest,cerebellum_crossspecies_spatial,
TRPM3,0.01960361,0.0068045561220968,0.681592039800995,granular layer|rest,cerebellum_crossspecies_spatial,
PDE3A,0.0130600035,0.0032224394995609,0.3283582089552239,granular layer|rest,cerebellum_crossspecies_spatial,
ND2,-0.6761339,0.0453203089288347,0.0049751243781094,granular layer|rest,cerebellum_crossspecies_spatial,
ND1,-0.7809386,0.0518106253536942,0.0049751243781094,granular layer|rest,cerebellum_crossspecies_spatial,
COX2,-1.1933994,0.1146258612093088,0.0049751243781094,granular layer|rest,cerebellum_crossspecies_spatial,
ND4,-1.2334847,0.1049143988445366,0.0049751243781094,granular layer|rest,cerebellum_crossspecies_spatial,
ATP6,-1.6264181,0.1450640197532708,0.0049751243781094,granular layer|rest,cerebellum_crossspecies_spatial,
COX3,-3.759428,0.2267891133764545,0.0049751243781094,granular layer|rest,cerebellum_crossspecies_spatial,
KCNIP4,0.09108019,0.0135546114939937,0.2437810945273631,purkinje layer|rest,cerebellum_crossspecies_spatial,
S100B,0.08369994,0.0175450579830997,1.0,purkinje layer|rest,cerebellum_crossspecies_spatial,
RBFOX1,0.078953624,0.0125554930454414,0.308457711442786,purkinje layer|rest,cerebellum_crossspecies_spatial,
HPCAL1,0.061861753,0.0121505394994947,1.0,purkinje layer|rest,cerebellum_crossspecies_spatial,
KCND2,0.04933721,0.0092530992107852,0.2786069651741293,purkinje layer|rest,cerebellum_crossspecies_spatial,
APOE,0.048560858,0.024774096940838,1.0,purkinje layer|rest,cerebellum_crossspecies_spatial,
PVALB,-0.3670504,0.0271300889008391,0.0049751243781094,purkinje layer|rest,cerebellum_crossspecies_spatial,
ALDOC,-0.3908429,0.0591537149000454,0.0049751243781094,purkinje layer|rest,cerebellum_crossspecies_spatial,
COX2,-0.39837694,0.0766468451900958,0.0049751243781094,purkinje layer|rest,cerebellum_crossspecies_spatial,
ND4,-0.5664029,0.0859175585615629,0.0049751243781094,purkinje layer|rest,cerebellum_crossspecies_spatial,
ATP6,-0.7986698,0.1158413992639257,0.0049751243781094,purkinje layer|rest,cerebellum_crossspecies_spatial,
COX3,-2.1915073,0.1842463524146965,0.0049751243781094,purkinje layer|rest,cerebellum_crossspecies_spatial,
MBP,0.6469321,0.1120612607548594,0.0049751243781094,white matter|rest,cerebellum_crossspecies_spatial,
COX3,0.26502514,0.1767261654375271,1.0,white matter|rest,cerebellum_crossspecies_spatial,
COX2,0.26068032,0.0683373442799934,1.0,white matter|rest,cerebellum_crossspecies_spatial,
ND4,0.19927597,0.0823512750614287,1.0,white matter|rest,cerebellum_crossspecies_spatial,
SNAP25,0.14670289,0.0313731714759426,1.0,white matter|rest,cerebellum_crossspecies_spatial,
ATP6,0.13763475,0.1140059118045171,1.0,white matter|rest,cerebellum_crossspecies_spatial,
CDK19,-0.00030307472,0.0038181837409702,1.0,white matter|rest,cerebellum_crossspecies_spatial,
ENTPD4,-0.0004235208,0.0049595015654576,1.0,white matter|rest,cerebellum_crossspecies_spatial,
PCP2,-0.0029580295,0.0140169516047149,0.9850746268656716,white matter|rest,cerebellum_crossspecies_spatial,
ND4L,-0.00614278,0.0051553229187628,0.7412935323383084,white matter|rest,cerebellum_crossspecies_spatial,
COX1,-0.011567056,0.0197869827417237,0.9800995024875622,white matter|rest,cerebellum_crossspecies_spatial,
GFAP,-0.014814138,0.0318824799557174,0.9900497512437813,white matter|rest,cerebellum_crossspecies_spatial,
Spink1,0.1546441138249963,0.0507729969038209,0.0049751243781094,ExE endoderm,digital_mouse_embryo_seu3d,
Emb,0.1119012739515022,0.0282183824604828,0.0099502487562189,ExE endoderm,digital_mouse_embryo_seu3d,
Slc16a1,0.1007090277960356,0.0214441587708545,0.0049751243781094,ExE endoderm,digital_mouse_embryo_seu3d,
H19,0.0891608416096203,0.0252306654761297,0.0049751243781094,ExE endoderm,digital_mouse_embryo_seu3d,
Car4,0.086865267285813,0.0215241148416525,0.0049751243781094,ExE endoderm,digital_mouse_embryo_seu3d,
Ttr,0.0785836907434358,0.0460379048110432,0.208955223880597,ExE endoderm,digital_mouse_embryo_seu3d,
Tpt1,-0.0611290773540565,0.0166172566883403,0.0049751243781094,ExE endoderm,digital_mouse_embryo_seu3d,
S100a6,-0.0644726344152646,0.0197352920491661,0.0796019900497512,ExE endoderm,digital_mouse_embryo_seu3d,
AY036118,-0.0869634188679358,0.0184458607810117,0.0547263681592039,ExE endoderm,digital_mouse_embryo_seu3d,
Prl8a2,-0.0928032202612776,0.0201471776251027,0.0149253731343283,ExE endoderm,digital_mouse_embryo_seu3d,
Cdk8,-0.1247537918155714,0.0272755755021383,0.0149253731343283,ExE endoderm,digital_mouse_embryo_seu3d,
Ctla2a,-0.125164550044404,0.0243530755774394,0.0049751243781094,ExE endoderm,digital_mouse_embryo_seu3d,
Tmsb10,0.2171880938718244,0.019258604497957,0.0945273631840796,Rostral neurectoderm,digital_mouse_embryo_seu3d,
Rpl41,0.1996123835852192,0.016918648546814,0.2487562189054726,Rostral neurectoderm,digital_mouse_embryo_seu3d,
Ftl1,0.1831999613094148,0.0170962989165297,0.8507462686567164,Rostral neurectoderm,digital_mouse_embryo_seu3d,
Prl3c1,0.1733020277210984,0.0132355037140726,0.2437810945273631,Rostral neurectoderm,digital_mouse_embryo_seu3d,
Rps28,0.1656274859601665,0.01529821025551,0.5572139303482587,Rostral neurectoderm,digital_mouse_embryo_seu3d,
Rps19,0.1578414886173416,0.0178683048263354,0.9353233830845772,Rostral neurectoderm,digital_mouse_embryo_seu3d,
Cmss1,-0.4153755465379618,0.0266829359254773,0.900497512437811,Rostral neurectoderm,digital_mouse_embryo_seu3d,
Gm26561,-0.4226449627316213,0.0256178076936014,0.9900497512437813,Rostral neurectoderm,digital_mouse_embryo_seu3d,
Lars2,-0.4253299133727419,0.0234754123565932,0.9950248756218906,Rostral neurectoderm,digital_mouse_embryo_seu3d,
Cd44,-0.4440332521845092,0.0260106940547185,0.9402985074626866,Rostral neurectoderm,digital_mouse_embryo_seu3d,
AY036118,-0.4647585893289085,0.0121753654940522,0.4278606965174129,Rostral neurectoderm,digital_mouse_embryo_seu3d,
Cdk8,-0.4745744474413496,0.0213621913726246,0.8557213930348259,Rostral neurectoderm,digital_mouse_embryo_seu3d,
Camk1d,0.254998419074093,0.0185809843076694,0.8557213930348259,Paraxial mesoderm,digital_mouse_embryo_seu3d,
Gm26561,0.1964227743855209,0.0197901612704691,0.3681592039800995,Paraxial mesoderm,digital_mouse_embryo_seu3d,
Il31ra,0.1951792395334386,0.0185126052730859,0.4975124378109453,Paraxial mesoderm,digital_mouse_embryo_seu3d,
Lars2,0.1922810315093959,0.018889982072444,0.2587064676616915,Paraxial mesoderm,digital_mouse_embryo_seu3d,
Cd44,0.1883766739634554,0.0196700803147826,0.1442786069651741,Paraxial mesoderm,digital_mouse_embryo_seu3d,
Meox1,0.1761745496804596,0.0102399536312528,0.0597014925373134,Paraxial mesoderm,digital_mouse_embryo_seu3d,
Ldha,-0.1303264443184537,0.0204789687212497,0.1393034825870646,Paraxial mesoderm,digital_mouse_embryo_seu3d,
Gpx3,-0.1379411511116721,0.0156492132309909,0.2139303482587064,Paraxial mesoderm,digital_mouse_embryo_seu3d,
Nnat,-0.1422367710990705,0.0156278487800822,0.0099502487562189,Paraxial mesoderm,digital_mouse_embryo_seu3d,
A2m,-0.1625314984823624,0.0181399561372099,0.0696517412935323,Paraxial mesoderm,digital_mouse_embryo_seu3d,
Mt1,-0.168308044905467,0.0147467946817982,0.0049751243781094,Paraxial mesoderm,digital_mouse_embryo_seu3d,
Ctla2a,-0.2703092914647418,0.0175975107829594,0.0049751243781094,Paraxial mesoderm,digital_mouse_embryo_seu3d,
Emb,0.1916542194822782,0.0472613236106552,0.0049751243781094,Gut,digital_mouse_embryo_seu3d,
Slc2a3,0.1322263468141647,0.0364910176755085,0.0099502487562189,Gut,digital_mouse_embryo_seu3d,
Slc16a1,0.1215588607976693,0.0293779824898497,0.0049751243781094,Gut,digital_mouse_embryo_seu3d,
Spink1,0.1037860971723521,0.0556727664328703,0.0845771144278607,Gut,digital_mouse_embryo_seu3d,
