interface,gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd
l3,SMESG000000987.1,0.04306916,0.091972835,-0.048903674,,
l3,SMESG000080903.1,0.036402848,0.08532327,-0.04892042,,
l3,SMESG000014705.1,0.042154115,0.091251835,-0.04909772,,
l3,SMESG000024341.1,0.04522587,0.09437626,-0.04915039,,
l3,SMESG000067948.1,0.04431093,0.0934951,-0.04918417,,
l3,SMESG000070068.1,0.051042564,0.10030497,-0.049262404,,
l3,SMESG000062670.1,0.67255586,0.72183776,-0.049281895,,
l3,SMESG000068819.1,0.03777533,0.08708584,-0.049310513,,
l3,SMESG000034977.1,0.061956987,0.11128083,-0.049323842,,
l3,SMESG000040593.1,0.053003225,0.102387965,-0.04938474,,
l3,SMESG000024276.1,0.036729626,0.08620454,-0.049474917,,
l3,SMESG000063612.1,0.036533564,0.086044304,-0.04951074,,
l3,SMESG000034009.1,0.048689738,0.09822194,-0.049532205,,
l3,SMESG000005586.1,0.05404887,0.103589654,-0.049540784,,
l3,SMESG000038604.1,0.047448,0.097020134,-0.049572133,,
l3,SMESG000027888.1,0.058166314,0.10775572,-0.049589407,,
l3,SMESG000016994.1,0.11084308,0.16055098,-0.049707904,,
l3,SMESG000014335.1,0.047513302,0.09726053,-0.049747225,,
l3,SMESG000025057.1,0.054637127,0.10439087,-0.04975374,,
l3,SMESG000023205.1,0.19966216,0.24947892,-0.049816757,,
l3,SMESG000075495.1,0.16887902,0.21871449,-0.049835473,,
l3,SMESG000002956.1,0.046663746,0.09661958,-0.049955837,,
l3,SMESG000021955.1,0.032873623,0.08283969,-0.049966067,,
l3,SMESG000016667.1,0.041696675,0.09173255,-0.05003587,,
l3,SMESG000041543.1,0.042284876,0.092373475,-0.0500886,,
l3,SMESG000081287.1,0.049212582,0.099343605,-0.050131023,,
l3,SMESG000008610.1,0.039343886,0.08972966,-0.050385773,,
l3,SMESG000007460.1,0.04895115,0.099343516,-0.050392367,,
l3,SMESG000034612.1,0.09777189,0.14821368,-0.050441794,,
l3,SMESG000081647.1,0.03731782,0.08780692,-0.050489098,,
l3,SMESG000019718.1,0.042611644,0.093174614,-0.05056297,,
l3,SMESG000024875.1,0.0376446,0.088287555,-0.050642956,,
l3,SMESG000009093.1,0.05012759,0.1007857,-0.050658114,,
l3,SMESG000004871.1,0.06208759,0.11280302,-0.050715428,,
l3,SMESG000030594.1,0.07679288,0.1275442,-0.050751314,,
l3,SMESG000047476.1,0.043265212,0.09405586,-0.05079065,,
l3,SMESG000020467.1,0.043265235,0.09405594,-0.05079071,,
l3,SMESG000024772.1,0.0352918,0.086124435,-0.050832637,,
l3,SMESG000036937.1,0.04274234,0.09365532,-0.050912976,,
l3,SMESG000028730.1,0.046859764,0.09782133,-0.05096157,,
l3,SMESG000038790.1,0.043003798,0.09397579,-0.050971992,,
l3,SMESG000030605.1,0.033984657,0.08508295,-0.05109829,,
l3,SMESG000013115.1,0.040650975,0.0918127,-0.051161725,,
l3,SMESG000007248.1,0.03620678,0.08740628,-0.0511995,,
l3,SMESG000071293.1,0.054048937,0.10527212,-0.051223185,,
l3,SMESG000054078.1,0.045618013,0.096859984,-0.05124197,,
l3,SMESG000051815.1,0.063590825,0.11488604,-0.051295213,,
l3,SMESG000022591.1,0.042350214,0.09373541,-0.051385198,,
l3,SMESG000061707.1,0.03195865,0.083400495,-0.051441845,,
l3,SMESG000074161.1,0.03535716,0.08684547,-0.051488314,,
