gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
Sh3bp5,0.07755728,0.07267686,0.004880421,,,Cavity
Mib1,0.09670871,0.09184877,0.004859939,,,Cavity
G3bp2,0.1063795,0.101521246,0.0048582554,,,Cavity
Cacna2d1,0.07686958,0.072043136,0.0048264414,,,Cavity
Scp2,0.060650084,0.055831634,0.0048184507,,,Cavity
Dhx32,0.055912893,0.051108535,0.004804358,,,Cavity
Arvcf,0.06367224,0.058875445,0.004796792,,,Cavity
Etfrf1,0.056991972,0.05224904,0.0047429316,,,Cavity
Gnao1,0.06631721,0.061582517,0.004734691,,,Cavity
Gtf2a1,0.08406039,0.07932783,0.004732564,,,Cavity
Eif4a2,0.16713129,0.16241314,0.0047181547,,,Cavity
Tubb2a,0.3802595,0.3755432,0.004716307,,,Cavity
Fgf2os,0.07012565,0.06541157,0.004714079,,,Cavity
Xiap,0.077718176,0.07301161,0.004706569,,,Cavity
Pcdh18,0.07274664,0.06804334,0.004703298,,,Cavity
Ptges3,0.22004485,0.21535139,0.0046934634,,,Cavity
Myl2,0.13315998,0.12847006,0.004689917,,,Cavity
Zmym2,0.09645192,0.09176656,0.0046853647,,,Cavity
Zfp428,0.0977514,0.09307329,0.004678108,,,Cavity
Ywhaz,0.28253943,0.27789056,0.0046488643,,,Cavity
Psmd8,0.15373723,0.14909127,0.0046459585,,,Cavity
Hnrnpc,0.3296686,0.325038,0.0046306252,,,Cavity
Vta1,0.069923215,0.065310515,0.004612699,,,Cavity
Cdh2,0.07087477,0.06626281,0.0046119615,,,Cavity
Fnbp1l,0.13585545,0.1312435,0.004611954,,,Cavity
Kmt2e,0.11034396,0.105735034,0.004608929,,,Cavity
Taok1,0.1065074,0.101899736,0.0046076626,,,Cavity
Srsf1,0.15628335,0.15167676,0.0046065897,,,Cavity
Dnaja2,0.14036992,0.13577141,0.0045985132,,,Cavity
Rpl34,1.3622795,1.3576902,0.004589319,,,Cavity
Ccar1,0.0934267,0.08887328,0.004553415,,,Cavity
Lrch3,0.055468377,0.05093764,0.0045307353,,,Cavity
Trim2,0.07992946,0.07542016,0.0045093,,,Cavity
Ssbp2,0.09304075,0.08853406,0.0045066923,,,Cavity
Wac,0.074850254,0.07035247,0.0044977814,,,Cavity
U2surp,0.091985345,0.08749402,0.0044913217,,,Cavity
Zfp280d,0.057700574,0.053213984,0.0044865906,,,Cavity
Ostc,0.16910009,0.16462189,0.0044782013,,,Cavity
Hnrnpd,0.16826788,0.16380031,0.004467562,,,Cavity
Fmc1,0.13238426,0.1279237,0.0044605583,,,Cavity
Pnrc2,0.06356604,0.059105895,0.004460141,,,Cavity
Nemf,0.0754195,0.07097182,0.0044476837,,,Cavity
Pbrm1,0.15418756,0.14975515,0.00443241,,,Cavity
Gm20503,0.080492295,0.07606081,0.004431486,,,Cavity
Mat2b,0.06856818,0.06418382,0.004384361,,,Cavity
Ubb,1.0007728,0.99640864,0.0043641925,,,Cavity
Vps28,0.13654853,0.13218822,0.004360318,,,Cavity
Cbx1,0.11191104,0.10755965,0.0043513924,,,Cavity
Kdm1a,0.108738065,0.10439,0.004348062,,,Cavity
Cnn3,0.3018277,0.29748958,0.0043381155,,,Cavity
Fgfr1,0.1295921,0.12525548,0.0043366253,,,Cavity
Tsn,0.18352781,0.17919146,0.004336357,,,Cavity
Ak6,0.09270798,0.08838068,0.004327297,,,Cavity
BC005537,0.17988402,0.17557466,0.004309356,,,Cavity
Rbm38,0.06537692,0.06107378,0.0043031424,,,Cavity
N4bp2l2,0.07677121,0.072505124,0.0042660832,,,Cavity
Tfrc,0.09918938,0.09493256,0.0042568147,,,Cavity
Kdm5b,0.1036967,0.0994487,0.004247993,,,Cavity
Zfp638,0.07540874,0.07119176,0.004216984,,,Cavity
Bbip1,0.08131181,0.07709602,0.0042157844,,,Cavity
Adcy9,0.11885502,0.11464062,0.0042143986,,,Cavity
Khsrp,0.136588,0.13238066,0.004207343,,,Cavity
Cadm1,0.068374045,0.06418781,0.0041862354,,,Cavity
Fam208a,0.070792116,0.06660959,0.004182525,,,Cavity
Hmgcr,0.09984222,0.09566824,0.004173979,,,Cavity
Paip1,0.08669311,0.08252274,0.0041703656,,,Cavity
Cdk4,0.33399114,0.32984698,0.004144162,,,Cavity
Etfa,0.09868212,0.09454348,0.004138641,,,Cavity
Eloc,0.15842637,0.15432045,0.0041059256,,,Cavity
Slc37a2,0.23276252,0.22866435,0.004098162,,,Cavity
Ctnnd2,0.09864678,0.09455284,0.004093945,,,Cavity
Ubxn8,0.0936306,0.08953756,0.004093036,,,Cavity
Cenpw,0.09607794,0.092004545,0.0040733963,,,Cavity
