interface,gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd
1-muscle,Ube2m,0.86959517,0.8164989,0.053096294,,
1-muscle,Galk1,0.6293883,0.5763485,0.05303979,,
1-muscle,Kansl2,0.43106192,0.37827885,0.052783072,,
1-muscle,Zmat2,0.5131904,0.46041745,0.05277294,,
1-muscle,Ppdpf,0.94457597,0.89185977,0.052716196,,
1-muscle,Dynlt1c,0.11235574,0.05970079,0.052654948,,
1-muscle,Mfap5,0.155131,0.102490194,0.052640803,,
1-muscle,Tpm3,1.0217177,0.9691149,0.052602768,,
1-muscle,Marcks,2.403896,2.3513145,0.05258155,,
1-muscle,Mat2a,0.65307504,0.60050434,0.0525707,,
1-muscle,Cap1,0.318077,0.26560038,0.052476615,,
1-muscle,Eif3j1,0.48789296,0.4355322,0.052360743,,
1-muscle,Lrpprc,0.32950225,0.277248,0.05225426,,
1-muscle,Rpl27a,3.3995411,3.347298,0.052243233,,
1-muscle,Nrep,1.4360126,1.3839543,0.05205834,,
1-muscle,Mfge8,0.3458443,0.29396144,0.051882863,,
1-muscle,Cacfd1,0.32553074,0.27366933,0.051861405,,
1-muscle,Tug1,0.6564711,0.6046375,0.05183357,,
1-muscle,Capn2,0.51931417,0.46750426,0.051809907,,
1-muscle,Shox2,0.18573421,0.13393049,0.051803723,,
1-muscle,Psma4,1.0031561,0.95148546,0.05167061,,
1-muscle,Ppp1ca,1.4593012,1.407642,0.051659226,,
1-muscle,R3hdm4,0.36674845,0.3151762,0.051572263,,
1-muscle,Idh1,0.46196848,0.41046044,0.05150804,,
1-muscle,Plp2,0.34277368,0.2913373,0.051436365,,
1-muscle,Snrnp70,0.6677508,0.6164731,0.051277697,,
1-muscle,Fdft1,0.43486434,0.38376355,0.05110079,,
1-muscle,Glrx3,0.91631085,0.8654435,0.05086732,,
1-muscle,Acat2,0.45894825,0.40812925,0.05081901,,
1-muscle,Nefl,0.32655677,0.27581412,0.050742656,,
1-muscle,Palm,0.27615306,0.22542056,0.050732493,,
1-muscle,Rnd3,0.44106746,0.39040586,0.050661594,,
1-muscle,Ndufs6,1.1467601,1.0962553,0.050504804,,
1-muscle,Sema3f,0.2315065,0.18109891,0.05040759,,
1-muscle,Hmx1,0.084786355,0.03447106,0.050315294,,
1-muscle,Eif5b,0.7078733,0.65832365,0.04954964,,
1-muscle,Foxn3,0.46163014,0.4121884,0.049441725,,
1-muscle,1810058I24Rik,0.85924566,0.8098061,0.04943955,,
1-muscle,D17Wsu92e,0.35093665,0.30156642,0.04937023,,
1-muscle,Ptp4a2,1.1712477,1.1219436,0.049304128,,
1-muscle,Cstf2t,0.30453208,0.25535256,0.049179524,,
1-muscle,Pdgfrb,0.28213143,0.23299469,0.049136743,,
1-muscle,Tcf7l2,0.45374838,0.4046349,0.049113482,,
1-muscle,Vps4a,0.2937512,0.24469103,0.04906018,,
1-muscle,Maf1,0.41497186,0.36607105,0.048900813,,
1-muscle,BC031181,0.39978045,0.35104507,0.04873538,,
1-muscle,Rpgrip1,0.11697011,0.06840365,0.04856646,,
1-muscle,Rbm3,1.7253523,1.6768055,0.04854679,,
1-muscle,Ulk4,0.12110459,0.07259179,0.0485128,,
1-muscle,Timm44,0.37635148,0.32786682,0.048484653,,
1-muscle,Tuba1c,0.47938836,0.43098468,0.04840368,,
1-muscle,Cyba,0.44459766,0.3961982,0.04839945,,
1-muscle,Acaa2,0.29120487,0.24283469,0.048370183,,
1-muscle,S100a6,0.4937124,0.44552097,0.04819143,,
1-muscle,Eif4a2,1.0359501,0.9878109,0.048139155,,
1-muscle,Fads1,0.40328684,0.35528994,0.04799691,,
1-muscle,Anapc5,1.0020599,0.95416266,0.04789728,,
1-muscle,Vcam1,0.4079494,0.36006165,0.047887743,,
1-muscle,Fam120a,0.61696917,0.5691522,0.04781699,,
1-muscle,Hyou1,0.20664671,0.15922669,0.047420025,,
1-muscle,Thra,0.5561951,0.50883925,0.04735583,,
1-muscle,mt-Nd4l,0.31511652,0.2679401,0.04717642,,
1-muscle,Supt16,0.58049834,0.5334003,0.04709804,,
1-muscle,Ftsj3,0.26098427,0.21389616,0.047088116,,
1-muscle,Tbx1,0.11774506,0.07081474,0.046930313,,
1-muscle,Lamp1,0.9869464,0.94005126,0.046895146,,
1-muscle,Knop1,0.4316356,0.38477552,0.04686007,,
1-muscle,Tmem119,0.3804565,0.33366007,0.04679644,,
1-muscle,Agrn,0.63276803,0.5861466,0.04662144,,
1-muscle,H2afj,0.52249426,0.47587523,0.046619028,,
1-muscle,Rhou,0.22784337,0.18124387,0.046599507,,
1-muscle,Lsm14b,0.32055384,0.27423996,0.046313882,,
1-muscle,Hspa5,1.733227,1.6870248,0.046202183,,
1-muscle,Naca,2.4895523,2.4433875,0.04616475,,
1-muscle,Fap,0.20598519,0.15985693,0.046128258,,
1-muscle,Epha3,0.48687196,0.44086444,0.046007514,,
1-muscle,Arl3,0.46159,0.4155933,0.045996696,,
1-muscle,Mapk1ip1l,0.6710742,0.62525076,0.045823455,,
1-muscle,Plcg1,0.36142862,0.3156289,0.045799732,,
1-muscle,Sap130,0.17848727,0.13271089,0.045776382,,
1-muscle,Mrps18b,0.21569093,0.17015068,0.045540243,,
1-muscle,Raly,0.7586553,0.7132531,0.04540223,,
1-muscle,Atrx,0.64142054,0.5960799,0.045340657,,
1-muscle,Hax1,0.3732911,0.32800838,0.04528272,,
1-muscle,Brk1,0.9215035,0.87623316,0.045270324,,
1-muscle,Cdv3,0.85640806,0.8111805,0.045227587,,
1-muscle,Evl,0.6560156,0.6108439,0.045171678,,
1-muscle,Rpl3,2.6723166,2.6272016,0.045114994,,
1-muscle,Mrpl9,0.29300052,0.24788699,0.045113534,,
1-muscle,Gstm1,0.24161619,0.19672023,0.044895962,,
1-muscle,AY036118,0.17432494,0.12955597,0.044768974,,
1-muscle,Psmd7,0.7867237,0.74210244,0.04462123,,
1-muscle,Wnt5a,0.5110899,0.46653497,0.04455495,,
1-muscle,Ncl,1.5580125,1.5137285,0.044283986,,
1-muscle,Rtl8b,0.28596556,0.24171363,0.044251934,,
1-muscle,Mark2,0.19214597,0.14790177,0.0442442,,
1-muscle,Tmem258,1.5904,1.5461661,0.04423392,,
1-muscle,CT025619.1,0.621816,0.5777772,0.044038773,,
1-muscle,Stmn3,0.13472293,0.09077195,0.043950982,,
1-muscle,Zfpl1,0.27460814,0.23073363,0.043874502,,
1-muscle,Phldb2,0.58835906,0.5445121,0.043846965,,
1-muscle,Lamp2,0.6012049,0.55744344,0.043761432,,
1-muscle,Anp32b,1.3877071,1.3439864,0.043720722,,
1-muscle,Ngfr,0.19576022,0.15222597,0.04353425,,
1-muscle,Nelfcd,0.3264773,0.2830394,0.0434379,,
1-muscle,Parm1,0.48369032,0.44026625,0.04342407,,
1-muscle,Krt14,0.14468096,0.10126096,0.043420002,,
1-muscle,U2af2,0.5955133,0.552161,0.043352306,,
1-muscle,Nudcd3,0.2789103,0.23562753,0.043282777,,
1-muscle,Osr1,0.5008053,0.4576048,0.043200523,,
1-muscle,Cct5,1.4234371,1.3803838,0.04305327,,
1-muscle,Ddx24,0.37749442,0.33445647,0.04303795,,
1-muscle,Kdelr2,1.1295534,1.086632,0.042921424,,
1-muscle,Myh8,0.95966446,0.9168538,0.04281068,,
1-muscle,Trmt112,0.8907843,0.84798473,0.042799592,,
1-muscle,Gm10073,0.15958518,0.116839245,0.042745933,,
1-muscle,Rprd1a,0.1880774,0.14558628,0.042491123,,
1-muscle,Jpt2,0.5939047,0.551588,0.042316675,,
1-muscle,Ipo13,0.20517285,0.16294532,0.042227536,,
1-muscle,Med4,0.3483893,0.3062054,0.042183906,,
1-muscle,Denr,0.72911733,0.68701196,0.042105377,,
1-muscle,Ctnna1,0.5953674,0.5533213,0.04204607,,
1-muscle,Siva1,0.8962224,0.854185,0.042037427,,
1-muscle,Kctd12,1.2663449,1.224331,0.042013884,,
1-muscle,Il11ra1,0.65364337,0.6116492,0.041994154,,
1-muscle,Tmem242,0.29438296,0.25249672,0.04188624,,
1-muscle,Gja1,0.5386783,0.49682778,0.041850507,,
1-muscle,Vamp3,0.45274374,0.4109136,0.041830152,,
1-muscle,Usp10,0.39456674,0.3530868,0.041479945,,
1-muscle,Hmcn1,0.16528076,0.1238777,0.041403063,,
1-muscle,Eef1b2,2.5628636,2.5215623,0.04130125,,
1-muscle,Lig1,0.43414816,0.39285234,0.041295826,,
1-muscle,Akt2,0.46819,0.42693806,0.041251957,,
1-muscle,Ctsb,1.1090454,1.0678455,0.041199923,,
1-muscle,Dpp9,0.12853314,0.0873581,0.041175038,,
1-muscle,Armcx2,0.59311587,0.55204993,0.04106593,,
1-muscle,Prdx2,1.9930981,1.9522247,0.04087341,,
1-muscle,Cdip1,0.39867705,0.35782784,0.04084921,,
1-muscle,Serping1,0.19026747,0.14943235,0.040835127,,
1-muscle,Tsc22d1,1.1657743,1.1250978,0.040676594,,
1-muscle,Rangap1,0.57107645,0.5304421,0.040634334,,
1-muscle,Rbfa,0.19805095,0.15743786,0.040613085,,
1-muscle,Ddr2,0.47531423,0.43471026,0.040603966,,
1-muscle,Supt4a,0.5883127,0.5477362,0.040576458,,
1-muscle,Dnajc9,0.55363584,0.51314056,0.040495276,,
1-muscle,Cdh4,0.21745913,0.17712393,0.040335193,,
1-muscle,Ankle2,0.2402942,0.20013613,0.040158078,,
1-muscle,Kdm2b,0.28139523,0.24126557,0.04012966,,
1-muscle,Smg7,0.32646936,0.28644046,0.0400289,,
1-muscle,Ubr4,0.3859658,0.3459621,0.040003687,,
1-muscle,Arl6ip4,0.3776359,0.33766577,0.03997013,,
1-muscle,Eif4a1,1.7994087,1.7594455,0.039963126,,
1-muscle,Mapkapk5,0.057616785,0.01774865,0.039868135,,
1-muscle,Bmper,0.11423806,0.07441654,0.03982152,,
1-muscle,St8sia2,0.1653516,0.12565412,0.039697483,,
1-muscle,Tmem234,0.70545435,0.6658937,0.039560676,,
1-muscle,Btg1,0.6579774,0.6184604,0.039516985,,
1-muscle,Gpi1,1.0023459,0.9629811,0.039364815,,
1-muscle,Tmem97,0.24408485,0.20476675,0.0393181,,
1-muscle,Agap3,0.32504845,0.28576258,0.03928587,,
1-muscle,Erp29,0.76098937,0.7218017,0.03918767,,
1-muscle,Gxylt1,0.17993596,0.14078026,0.039155707,,
1-muscle,Gnaq,0.36189467,0.32274163,0.03915304,,
1-muscle,Vopp1,0.20807832,0.16904034,0.039037988,,
1-muscle,Cyhr1,0.4713735,0.4323935,0.038980007,,
1-muscle,Ldb2,0.22981885,0.19095047,0.038868383,,
1-muscle,Srrm2,0.7370241,0.6982101,0.03881401,,
1-muscle,S100a9,0.15390703,0.11514914,0.03875789,,
1-muscle,Pth1r,0.37995788,0.34120148,0.0387564,,
1-muscle,Cacnb3,0.26143143,0.22277158,0.03865984,,
1-muscle,Sgta,0.5599814,0.5213378,0.0386436,,
1-muscle,B3gat3,0.20461842,0.16598077,0.038637653,,
1-muscle,Rap2b,0.22863601,0.19003572,0.038600296,,
1-muscle,Akr7a5,0.30645528,0.26792583,0.038529456,,
1-muscle,Wac,0.5233883,0.48491114,0.038477182,,
1-muscle,Rpl6,3.103789,3.0653179,0.038471222,,
1-muscle,Smc1a,0.56010336,0.52166677,0.03843659,,
1-muscle,Atp5l,1.9053931,1.8670417,0.038351417,,
1-muscle,Ctdsp2,1.0705947,1.0323931,0.03820157,,
